-5.0,-125.0
-4.9,-117.64900000000003
-4.8,-110.59199999999998
-4.7,-103.82300000000001
-4.6,-97.33599999999998
-4.5,-91.125
-4.4,-85.18400000000003
-4.3,-79.50699999999999
-4.2,-74.08800000000001
-4.1,-68.92099999999998
-4.0,-64.0
-3.9,-59.318999999999996
-3.8,-54.87199999999999
-3.7,-50.653000000000006
-3.6,-46.656000000000006
-3.5,-42.875
-3.4,-39.303999999999995
-3.3,-35.937
-3.2,-32.76800000000001
-3.1,-29.791000000000004
-3.0,-27.0
-2.9,-24.389
-2.8,-21.951999999999995
-2.7,-19.683000000000003
-2.6,-17.576
-2.5,-15.625
-2.4,-13.823999999999998
-2.3,-12.166999999999998
-2.2,-10.648000000000003
-2.1,-9.261000000000001
-2.0,-8.0
-1.9,-6.858999999999999
-1.8,-5.832000000000001
-1.7,-4.912999999999999
-1.6,-4.096000000000001
-1.5,-3.375
-1.4,-2.7439999999999993
-1.3,-2.197
-1.2,-1.7279999999999998
-1.1,-1.3310000000000004
-1.0,-1.0
-0.9,-0.7290000000000001
-0.8,-0.5120000000000001
-0.7,-0.3429999999999999
-0.6,-0.21599999999999997
-0.5,-0.125
-0.4,-0.06400000000000002
-0.3,-0.026999999999999996
-0.2,-0.008000000000000002
-0.1,-0.0010000000000000002
0.0,0.0
0.1,0.0010000000000000002
0.2,0.008000000000000002
0.3,0.026999999999999996
0.4,0.06400000000000002
0.5,0.125
0.6,0.21599999999999997
0.7,0.3429999999999999
0.8,0.5120000000000001
0.9,0.7290000000000001
1.0,1.0
1.1,1.3310000000000004
1.2,1.7279999999999998
1.3,2.197
1.4,2.7439999999999993
1.5,3.375
1.6,4.096000000000001
1.7,4.912999999999999
1.8,5.832000000000001
1.9,6.858999999999999
2.0,8.0
2.1,9.261000000000001
2.2,10.648000000000003
2.3,12.166999999999998
2.4,13.823999999999998
2.5,15.625
2.6,17.576
2.7,19.683000000000003
2.8,21.951999999999995
2.9,24.389
3.0,27.0
3.1,29.791000000000004
3.2,32.76800000000001
3.3,35.937
3.4,39.303999999999995
3.5,42.875
3.6,46.656000000000006
3.7,50.653000000000006
3.8,54.87199999999999
3.9,59.318999999999996
4.0,64.0
4.1,68.92099999999998
4.2,74.08800000000001
4.3,79.50699999999999
4.4,85.18400000000003
4.5,91.125
4.6,97.33599999999998
4.7,103.82300000000001
4.8,110.59199999999998
4.9,117.64900000000003
5.0,125.0
